** WARNING! Editing this file can cause it to become unusable with the MapCHECK software.

5.02.00.02
File Revision:	B
Measured File
Sun Nuclear Corporation
1177 MapCHECK 2

FileName:	2-Sep-2011-A.txt
Firmware Version:	10109
Hardware Revision:	D0
Diode Type:	0
Temperature:	21.667, 0, 0
Inclinometer Tilt:	0.000
Inclinometer Rotation:	0.000
Background Threshold:	60

Date:	09/02/11	Time:	13:33:57
Serial No:	6840311

Overrange Error:	0

Cal File:	6MVBoc.cal

Dose per Count:	0.0000000000
Dose Info:	None
Dose IDDC:	0

Time:	36999

Orientation:	0

Rows:	65
Cols:	53
CAX X:	27
CAX Y:	33

Background
Ycm	ROW	
6.0	45	1.963618005341672	0.000000000000000	1.659012442186177	0.000000000000000	1.568855449156407	0.000000000000000	1.736890104879161	0.000000000000000	1.951371246172888	0.000000000000000	1.979805875838708	0.000000000000000	1.904403621913882	0.000000000000000	2.247703732655853	0.000000000000000	2.194319588300436	0.000000000000000	1.992117777343495	0.000000000000000	2.188554491564068	0.000000000000000	1.994690899615660	0.000000000000000	1.939287342844114	0.000000000000000	1.800241026643215	0.000000000000000	2.221321086574164	0.000000000000000	1.680151130219530	0.000000000000000	2.111035111719106	0.000000000000000	2.324799687316787	0.000000000000000	1.815810044948212	0.000000000000000	2.665005537098560	0.000000000000000	2.438896488828089	0.000000000000000	1.714611425965735	0.000000000000000	2.972965930558270	0.000000000000000	2.120708748615725	0.000000000000000	2.272327535665429	0.000000000000000	2.227151325646538	0.000000000000000	2.487557813823204
5.5	44	0.000000000000000	1.822063709204612	0.000000000000000	2.048335613315094	0.000000000000000	2.357598853494886	0.000000000000000	1.879519249560289	0.000000000000000	2.763793889648883	0.000000000000000	2.449449547260765	0.000000000000000	2.875056999544004	0.000000000000000	2.096345514950166	0.000000000000000	2.275780079473650	0.000000000000000	2.567943456452348	0.000000000000000	1.323008273076673	0.000000000000000	2.209595466093414	0.000000000000000	1.935509087355873	0.000000000000000	1.589179857989707	0.000000000000000	2.237411243567194	0.000000000000000	2.690736759820207	0.000000000000000	1.395316266041300	0.000000000000000	2.119243046055632	0.000000000000000	1.797733046707055	0.000000000000000	2.619080190215621	0.000000000000000	2.033124877858120	0.000000000000000	1.992671487199531	0.000000000000000	2.456484919549215	0.000000000000000	1.721027946062146	0.000000000000000	2.159207869194189	0.000000000000000	1.615301934727379	0.000000000000000
5.0	43	2.332095628949254	0.000000000000000	2.791023386098626	0.000000000000000	2.071265715588561	0.000000000000000	2.279884046641913	0.000000000000000	2.089310142661716	0.000000000000000	1.502149697088138	0.000000000000000	2.071558856100580	0.000000000000000	1.787635984626409	0.000000000000000	1.866783922871474	0.000000000000000	2.135170347208651	0.000000000000000	1.784737150674223	0.000000000000000	1.905511041625953	0.000000000000000	1.382287798840466	0.000000000000000	2.116963064295486	0.000000000000000	1.988437235359260	0.000000000000000	2.158328447658133	0.000000000000000	2.305810696371572	0.000000000000000	2.025275226369617	0.000000000000000	2.107875708422904	0.000000000000000	2.021073545697349	0.000000000000000	1.535144290274249	0.000000000000000	2.550322454563221	0.000000000000000	2.248713438863918	0.000000000000000	2.466093414109830	0.000000000000000	2.058725815907759	0.000000000000000	1.843690964757996	0.000000000000000	1.380594098104358
4.5	42	0.000000000000000	2.038238551234447	0.000000000000000	2.500814279200052	0.000000000000000	1.985994397759104	0.000000000000000	2.141326297961045	0.000000000000000	2.251221418800078	0.000000000000000	3.310826656243893	0.000000000000000	1.470718519966126	0.000000000000000	2.498273728095890	0.000000000000000	1.231776431502834	0.000000000000000	2.239072373135301	0.000000000000000	2.023386098625497	0.000000000000000	1.269330988209237	0.000000000000000	1.915640674874601	0.000000000000000	3.078463943717022	0.000000000000000	1.943065598332356	0.000000000000000	1.876750700280112	0.000000000000000	2.066640609732265	0.000000000000000	2.848348641782295	0.000000000000000	2.519444987297244	0.000000000000000	1.333691616181356	0.000000000000000	2.216077128525829	0.000000000000000	2.262686469936812	0.000000000000000	1.418832649338805	0.000000000000000	1.772392678001433	0.000000000000000	1.765845873233014	0.000000000000000	2.395935118233340	0.000000000000000
4.0	41	1.991889779167481	0.000000000000000	1.462282587453586	0.000000000000000	1.636245195752720	0.000000000000000	2.152595922089766	0.000000000000000	2.429776561787506	0.000000000000000	1.719985668686079	0.000000000000000	3.057357826851671	0.000000000000000	1.875350140056022	0.000000000000000	2.826819099732917	0.000000000000000	3.412611556250407	0.000000000000000	2.116344212103446	0.000000000000000	1.573610839684711	0.000000000000000	2.670379779818904	0.000000000000000	2.565500618852192	0.000000000000000	3.067976027620350	0.000000000000000	1.680216272555534	0.000000000000000	1.419712070874862	0.000000000000000	2.345254380822096	0.000000000000000	2.226043905934467	0.000000000000000	1.392840857273142	0.000000000000000	1.549671031203179	0.000000000000000	2.235750113999088	0.000000000000000	2.121229887303758	0.000000000000000	2.306722689075630	0.000000000000000	1.988209237183245	0.000000000000000	1.967428831997915	0.000000000000000	2.345808090678132
3.5	40	0.000000000000000	2.823659696436714	0.000000000000000	2.794019933554817	0.000000000000000	1.538889974594489	0.000000000000000	1.947234707836623	0.000000000000000	1.644713699433262	0.000000000000000	1.773923522897531	0.000000000000000	2.407041886522051	0.000000000000000	1.611751677415152	0.000000000000000	1.944270731548433	0.000000000000000	2.598234642694287	0.000000000000000	1.827763663604977	0.000000000000000	1.681030551755586	0.000000000000000	2.462868868477623	0.000000000000000	2.287896553970425	0.000000000000000	2.718975962478015	0.000000000000000	1.847208650902221	0.000000000000000	2.127711549736174	0.000000000000000	2.320630577812520	0.000000000000000	2.393752849977200	0.000000000000000	1.951990098364927	0.000000000000000	1.846622369878184	0.000000000000000	1.834538466549410	0.000000000000000	2.063741775780080	0.000000000000000	1.550713308579246	0.000000000000000	2.880268386424337	0.000000000000000	1.760829913360693	0.000000000000000
3.0	39	2.099439775910364	0.000000000000000	2.038010553058433	0.000000000000000	1.602045469350531	0.000000000000000	2.133704644648557	0.000000000000000	2.301902156211322	0.000000000000000	2.839326428245717	0.000000000000000	1.651358217705687	0.000000000000000	1.853397172822618	0.000000000000000	2.137059474952772	0.000000000000000	1.990619503615400	0.000000000000000	2.395869975897336	0.000000000000000	2.371343886391766	0.000000000000000	2.636798905608755	0.000000000000000	1.692951599244349	0.000000000000000	1.445443293596508	0.000000000000000	2.688717347404078	0.000000000000000	1.520031268321282	0.000000000000000	2.787733698130415	0.000000000000000	1.899583089049573	0.000000000000000	1.993583479903589	0.000000000000000	1.865220506807374	0.000000000000000	2.114096801511302	0.000000000000000	1.636896619112761	0.000000000000000	2.093804963846003	0.000000000000000	3.267539573969123	0.000000000000000	2.287212559442382	0.000000000000000	1.698814409484724
2.5	38	0.000000000000000	2.082828480229301	0.000000000000000	1.747345449807830	0.000000000000000	1.758745358608560	0.000000000000000	2.495635463487721	0.000000000000000	2.153931339977852	0.000000000000000	1.853527457494626	0.000000000000000	2.382971793368510	0.000000000000000	2.302227867891343	0.000000000000000	2.070744576900528	0.000000000000000	1.839065858901700	0.000000000000000	1.528206631489805	0.000000000000000	2.311934075955964	0.000000000000000	2.378053547000195	0.000000000000000	1.506253664256400	0.000000000000000	1.699628688684776	0.000000000000000	2.104748876294704	0.000000000000000	2.313562634356068	0.000000000000000	2.162627841834408	0.000000000000000	1.729463878574686	0.000000000000000	2.590417562373787	0.000000000000000	1.900136798905609	0.000000000000000	2.047260764771025	0.000000000000000	1.933815386619764	0.000000000000000	2.320142010292489	0.000000000000000	2.113282522311250	0.000000000000000	1.485961826591102	0.000000000000000
2.0	37	2.098136929190281	0.000000000000000	1.554361279395479	0.000000000000000	1.932056543547652	0.000000000000000	2.175688880203244	0.000000000000000	1.680281414891538	0.000000000000000	2.080906781317178	0.000000000000000	2.157677024298091	0.000000000000000	1.433815386619764	0.000000000000000	2.285388574034265	0.000000000000000	2.450296397628819	0.000000000000000	1.636473193928734	0.000000000000000	2.435574229691877	0.000000000000000	2.000911992704058	0.000000000000000	2.548009901635073	0.000000000000000	2.006351377760407	0.000000000000000	1.251807699824116	0.000000000000000	2.157970164810110	0.000000000000000	1.651716500553710	0.000000000000000	1.944726727900463	0.000000000000000	2.442739886652336	0.000000000000000	2.027685492801772	0.000000000000000	1.279134909777865	0.000000000000000	2.161813562634356	0.000000000000000	1.915998957722624	0.000000000000000	2.066347469220246	0.000000000000000	2.290827959090613	0.000000000000000	3.632922936616507
1.5	36	0.000000000000000	2.568692593316396	0.000000000000000	2.100416910950427	0.000000000000000	2.437756497948016	0.000000000000000	2.301999869715328	0.000000000000000	1.965018565565761	0.000000000000000	2.404957331769917	0.000000000000000	2.088984430981695	0.000000000000000	2.145593120969318	0.000000000000000	1.689727053612142	0.000000000000000	2.270731548433327	0.000000000000000	2.088267865285649	0.000000000000000	2.431177122011595	0.000000000000000	2.321672855188587	0.000000000000000	1.969773956094065	0.000000000000000	2.452869519900984	0.000000000000000	1.826200247540877	0.000000000000000	1.575043971076803	0.000000000000000	2.202494951468960	0.000000000000000	2.352159468438538	0.000000000000000	1.914598397498534	0.000000000000000	2.264901309360954	0.000000000000000	1.754185395088268	0.000000000000000	2.325548824180835	0.000000000000000	2.384470067096606	0.000000000000000	1.394045990489219	0.000000000000000	2.047130480099016	0.000000000000000
